9.9,9.4,73.8,0.6,0.8,73.8,7.3
1.5,3.5,73.8,1.6,8.1,73.8,5.5
6.3,4.6,73.8,7.5,6.9,73.8,6.3
1.7,9.4,73.8,6.4,9.7,73.8,9.1
8.2,7.6,73.8,4.1,1.5,73.8,7.6
8.5,5.0,73.8,0.4,7.8,73.8,6.7
1.6,3.0,73.8,6.6,5.9,73.8,3.8
3.1,4.2,73.8,7.1,6.2,73.8,7.1
8.2,5.8,73.8,7.3,3.6,73.8,3.0
0.4,3.8,73.8,3.7,8.2,73.8,8.5
9.9,8.3,73.8,8.7,2.3,73.8,0.5
9.5,7.3,73.8,9.2,7.7,73.8,1.0
1.9,8.2,73.8,9.7,7.4,73.8,6.7
5.7,1.9,73.8,6.1,6.5,73.8,3.2
1.5,3.8,73.8,7.7,4.9,73.8,1.9
9.0,6.6,73.8,6.5,6.1,73.8,9.0
4.5,0.3,73.8,7.5,0.1,73.8,0.5
3.9,7.3,73.8,6.0,8.7,73.8,8.6
2.5,6.3,73.8,0.9,3.0,73.8,0.6
3.6,7.3,73.8,5.9,9.8,73.8,2.9
